"id","version","baseMean","log2FoldChange","lcfSE","stat","pvalue","padj","status"
"ENSMUSG00000029033","16",1641.62263308226,-0.168537561090677,0.106415286013285,-1.58377210083932,0.113245590332288,0.535222546132468,"NS"
"ENSMUSG00000038773","10",2120.99117559336,-0.269608594646946,0.170252168676617,-1.58358390816771,0.113288438244713,0.535241185910287,"NS"
"ENSMUSG00000026479","13",191.597412518105,-0.405611556210283,0.256224202584623,-1.58303373420129,0.113413775705443,0.535649408223645,"NS"
"ENSMUSG00000020078","15",9610.18208545606,-0.210155808075612,0.132776915738181,-1.58277368401908,0.113473056844539,0.535745475657914,"NS"
"ENSMUSG00000014426","8",2371.05775716619,-0.295372507882322,0.186645339112803,-1.5825335327758,0.113527823489172,0.535820170004812,"NS"
"ENSMUSG00000027962","14",718.909791282491,-0.357794476146761,0.226275874936287,-1.58123121277293,0.113825181073843,0.535934235730599,"NS"
"ENSMUSG00000028933","11",1135.64858206741,0.293570153336767,0.185559278866868,1.58208285314254,0.113630657463797,0.535934235730599,"NS"
"ENSMUSG00000002221","11",680.74971796742,-0.267880591129887,0.16947804630914,-1.58062118937371,0.113964677943293,0.535934235730599,"NS"
"ENSMUSG00000003435","9",6934.1605839776,-0.195308412543297,0.123569741687124,-1.58055208238448,0.113980489442341,0.535934235730599,"NS"
"ENSMUSG00000001665","10",295.00603288507,-0.41134651509562,0.260076598441779,-1.58163601631272,0.113732687017983,0.535934235730599,"NS"
"ENSMUSG00000070407","5",163.283365456472,0.372718964303809,0.235718948165682,1.58120069347091,0.113832156867024,0.535934235730599,"NS"
"ENSMUSG00000060216","15",490.805592750747,0.22374871200397,0.141453090285472,1.58178737242442,0.113698118681844,0.535934235730599,"NS"
"ENSMUSG00000025140","15",230.035962142964,0.379508932906248,0.239858880840312,1.58221755882747,0.113599913265651,0.535934235730599,"NS"
"ENSMUSG00000097150","1",34.5026976037366,0.415975137063317,0.263148855085019,1.58075982101051,0.11393296459315,0.535934235730599,"NS"
"ENSMUSG00000022656","15",789.391857783265,0.420621542186095,0.266099477558475,1.5806928523325,0.11394828346909,0.535934235730599,"NS"
"ENSMUSG00000031149","7",48.4357243641194,0.407216690200909,0.25756377044121,1.58103249344169,0.113870608367887,0.535934235730599,"NS"
"ENSMUSG00000039377","7",133.263981233829,0.403341946392979,0.25524862274367,1.5801924494536,0.114062800403218,0.536084911753425,"NS"
"ENSMUSG00000048076","14",19582.9911840282,0.212352299748916,0.13439409758767,1.58007162189836,0.114090465301209,0.536084911753425,"NS"
"ENSMUSG00000040620","15",2598.31814753349,-0.191181161747189,0.121021685083885,-1.57972648963426,0.114169516510341,0.536090173429785,"NS"
"ENSMUSG00000041229","15",7968.35424735772,-0.258830816137916,0.163834687624713,-1.57982915517137,0.114145996862362,0.536090173429785,"NS"
"ENSMUSG00000026249","10",6312.44169011652,0.235609310354932,0.14920354619026,1.57911334127735,0.114310062106022,0.536242353345394,"NS"
"ENSMUSG00000026579","8",49.2553226475371,0.380613478551691,0.241081742623755,1.57877354962419,0.114388007624184,0.536242353345394,"NS"
"ENSMUSG00000039205","16",576.070367327806,-0.251962874166548,0.159558693665687,-1.57912344591182,0.114307744823033,0.536242353345394,"NS"
"ENSMUSG00000054871","4",121.869520486998,0.414693122189442,0.262701372644872,1.57857234628933,0.11443418179297,0.536242353345394,"NS"
"ENSMUSG00000007867","8",300.1488367103,-0.370628507865814,0.234768023757644,-1.57870097440707,0.11440466122533,0.536242353345394,"NS"
"ENSMUSG00000009535","13",1556.52152345673,0.250502087570248,0.158689715774148,1.57856535534268,0.114435786409513,0.536242353345394,"NS"
"ENSMUSG00000022141","6",3682.59179195733,0.299766869343994,0.189939498919952,1.5782229133411,0.114514408046235,0.536428064657847,"NS"
"ENSMUSG00000022508","5",4024.63300973928,0.295413419336618,0.187206167714847,1.57801114644146,0.11456304911011,0.536473257201119,"NS"
"ENSMUSG00000109599","1",40.3064952089218,-0.413334172713137,0.262257166583637,-1.57606435735406,0.115010972189225,0.536851685445332,"NS"
"ENSMUSG00000026637","13",194.432321408793,0.404776460373181,0.256872575699581,1.57578698025973,0.115074903914866,0.536851685445332,"NS"
"ENSMUSG00000026965","12",7873.94397914405,0.152859339760379,0.0969523326636234,1.57664427003242,0.114877400311261,0.536851685445332,"NS"
"ENSMUSG00000090100","7",393.477792844111,-0.306388557193487,0.194515689070696,-1.57513544875104,0.115225183192374,0.536851685445332,"NS"
"ENSMUSG00000105245","1",135.890157645687,-0.30898006003002,0.195952977194797,-1.57680717309471,0.114839900647652,0.536851685445332,"NS"
"ENSMUSG00000029128","12",2709.75976651299,-0.21826492775246,0.138590201684817,-1.57489436553992,0.115280829449625,0.536851685445332,"NS"
"ENSMUSG00000030286","6",11939.0459986121,0.259505719009238,0.164666543278117,1.57594684289292,0.115038054295425,0.536851685445332,"NS"
"ENSMUSG00000040212","12",334.212405910165,0.39549114834844,0.251061421847347,1.57527646198431,0.115192644644119,0.536851685445332,"NS"
"ENSMUSG00000055148","7",278.494653711281,0.302128071625953,0.191676536627455,1.57623920455728,0.114970686596718,0.536851685445332,"NS"
"ENSMUSG00000032261","16",734.078133415022,0.328018306899769,0.207942973525522,1.57744357185269,0.114693496373367,0.536851685445332,"NS"
"ENSMUSG00000032417","10",36.8843720354217,-0.418395562655091,0.265704202372026,-1.57466671177927,0.115333395351656,0.536851685445332,"NS"
"ENSMUSG00000050621","6",30.9146536300388,0.417583506350178,0.265197869091143,1.57461109239405,0.115346240890856,0.536851685445332,"NS"
"ENSMUSG00000072582","9",1034.98650647079,0.263831814634224,0.167459515682489,1.5754961045896,0.115141976905772,0.536851685445332,"NS"
"ENSMUSG00000021240","5",1014.593288046,-0.206545435132703,0.131153869434248,-1.57483295021082,0.115295008567934,0.536851685445332,"NS"
"ENSMUSG00000021302","9",1475.71360537466,-0.237628212577484,0.150731030275997,-1.57650493161477,0.114909483126824,0.536851685445332,"NS"
"ENSMUSG00000037487","6",15396.4179391791,-0.245426457991155,0.155661630367172,-1.576666371875,0.114872311986634,0.536851685445332,"NS"
"ENSMUSG00000036097","7",1622.46501944837,-0.29039023761489,0.184364235203328,-1.57508986108195,0.11523570401052,0.536851685445332,"NS"
"ENSMUSG00000049191","12",71.5814816733857,-0.386953724815501,0.245376515329173,-1.57697946071327,0.114800251174364,0.536851685445332,"NS"
"ENSMUSG00000036615","5",402.35802742413,0.26901630788471,0.171028709899362,1.57293069709178,0.115734866233563,0.537875512543604,"NS"
"ENSMUSG00000015806","12",5157.54434032732,0.190746911090349,0.121245246781967,1.57323207427146,0.115665091029858,0.537875512543604,"NS"
"ENSMUSG00000020098","6",2580.78243405394,-0.40262921096565,0.25596346281389,-1.5729948584826,0.11572000874025,0.537875512543604,"NS"
"ENSMUSG00000021000","15",4191.57380572371,-0.203396441442102,0.129270243905455,-1.57342041986756,0.11562150182773,0.537875512543604,"NS"
"ENSMUSG00000037095","7",58049.6177460726,0.270121134082245,0.171743757941797,1.57281485696725,0.115761694478966,0.537875512543604,"NS"
"ENSMUSG00000037225","13",4090.72841415072,-0.373966434115819,0.237917118925761,-1.57183491378992,0.115988842191381,0.538203875503883,"NS"
"ENSMUSG00000030259","12",7893.90433462263,-0.266175908757982,0.169315442980518,-1.57207106494479,0.115934071093869,0.538203875503883,"NS"
"ENSMUSG00000030515","9",606.431667368853,0.266593304581991,0.169587622075976,1.57200921457909,0.115948414230706,0.538203875503883,"NS"
"ENSMUSG00000032322","14",62.7885840559184,0.4094979836722,0.260494465204371,1.5720026271995,0.115949941930153,0.538203875503883,"NS"
"ENSMUSG00000013160","7",18556.7517877741,0.230151848192491,0.146456857336316,1.57146515621308,0.116074641790364,0.538420405175936,"NS"
"ENSMUSG00000059149","17",2605.69228710757,-0.196685062369096,0.125283874309521,-1.56991523013708,0.11643483387897,0.539182243186425,"NS"
"ENSMUSG00000040795","12",449.489619799044,-0.275902362020418,0.175724617925147,-1.57008372121169,0.116395635231181,0.539182243186425,"NS"
"ENSMUSG00000043618","9",50.0692604311351,0.376319701165547,0.239701455281774,1.56995167477467,0.116426354328348,0.539182243186425,"NS"
"ENSMUSG00000029388","14",4551.634397374,0.16914198762949,0.107729476985378,1.57006227415777,0.116400624210422,0.539182243186425,"NS"
"ENSMUSG00000015214","14",3884.02895353253,-0.205525247409596,0.130865328156327,-1.57050954828985,0.116296614796286,0.539182243186425,"NS"
"ENSMUSG00000036707","16",8229.23010997365,-0.160211997649076,0.102123457808483,-1.56880702129699,0.116692911883956,0.539260145332981,"NS"
"ENSMUSG00000033486","14",272.613885506684,0.278554753187243,0.177526090797739,1.56909191170446,0.116626524169961,0.539260145332981,"NS"
"ENSMUSG00000004591","16",5760.44393626199,-0.174283761893887,0.111070982458375,-1.56912055729049,0.116619850560742,0.539260145332981,"NS"
"ENSMUSG00000072769","6",152.100860448725,0.392834777128882,0.250310716214788,1.56938857061076,0.116557425588575,0.539260145332981,"NS"
"ENSMUSG00000007891","16",99023.098746254,0.339135801514169,0.216178293828017,1.56877823165712,0.116699622354611,0.539260145332981,"NS"
