"GeneID"	"EPI_ADIPO_KO_840"	"EPI_ADIPO_KO_843"	"EPI_ADIPO_KO_857"	"EPI_ADIPO_KO_891"	"EPI_ADIPO_WT_841"	"EPI_ADIPO_WT_842"	"EPI_ADIPO_WT_858"	"EPI_ADIPO_WT_892"
"ENSMUSG00000006056.13"	0	0	0	0	0	0	0	3.86000822022547
"ENSMUSG00000091510.4"	5.90452757785402	2.84863125992171	2.49665218493776	7.21417534247549	8.54722041360099	11.804725398402	9.36535599761108	6.75501438539458
"ENSMUSG00000034362.7"	0	0	0	0	0	0	2.08119022169135	0
"ENSMUSG00000092604.1"	1.68700787938686	0	0	0	0	0	0	0.965002055056368
"ENSMUSG00000021079.15"	653.715553262409	730.199146293264	812.244177499751	597.745956947969	521.38044522966	637.455171513707	465.146014548017	537.506144666397
"ENSMUSG00000045569.6"	1798.35039942639	1112.86527887608	1091.0370048178	951.240548729268	1827.55112843541	1821.30049003916	1304.90626900048	1714.80865183517
"ENSMUSG00000024182.16"	916.045278507066	993.222765959369	1087.70813523788	1340.80601722294	1026.44346966972	984.851376095251	1696.17003067845	1205.2875667654
"ENSMUSG00000094733.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000071562.5"	0	0	0	0	0.77702003760009	0	0	0
"ENSMUSG00000079595.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000079594.2"	0	0	0	0	0	0	0	0
"ENSMUSG00000021998.16"	951.47244397419	1259.09501688539	4588.01449852062	1551.04769863223	1360.56208583776	777.425486951902	274.717109263258	1175.37250305866
"ENSMUSG00000022902.7"	0	0	0	0	0	0	0	0
"ENSMUSG00000027225.7"	0	0	0	0	0	0	0	0.965002055056368
"ENSMUSG00000106788.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000001054.9"	1022.32677490844	1070.13580997725	827.224090609378	795.620480627297	1055.97023109852	956.18275727056	725.294792259436	855.956822834998
"ENSMUSG00000022838.13"	47.2362206228321	37.0322063789822	29.9598262192531	45.3462450098459	57.4994827824067	69.141963047783	57.2327310965122	33.7750719269729
"ENSMUSG00000034243.16"	309.565945867489	405.45518266219	7177.87503169606	8081.93757652754	234.660051355227	237.780897310668	7021.93580798662	7733.52646922173
"ENSMUSG00000022828.10"	1605.1879972366	1579.09126174993	1388.97083222037	1167.66580900353	1476.33807144017	1485.70901085602	939.657385093645	1191.77753799461
"ENSMUSG00000022827.14"	269.921260701898	247.830919613189	208.054348744813	162.834243444447	205.133289926424	244.526454681184	194.591285728141	179.490382240484
"ENSMUSG00000053646.13"	45.5492127434453	34.1835751190605	7.48995655481328	5.15298238748249	43.513122105605	52.2780696214945	3.12178533253703	4.82501027528184
"ENSMUSG00000022816.11"	2863.6958752592	1791.78906249075	1959.03974778116	1108.92180978623	2872.64307900753	2251.32977240952	169.617003067845	1701.29862306438
"ENSMUSG00000086514.1"	0	0.949543753307236	0	0	6.99318033840081	1.68638934262885	0	6.75501438539458
"ENSMUSG00000108763.1"	1.68700787938686	3.79817501322894	3.32886957991701	3.0917894324895	3.88510018800045	1.68638934262885	5.20297555422838	1.93000411011274
"ENSMUSG00000103761.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000090744.7"	38.8011812258978	32.284487612446	56.5907828585892	55.6522097848109	47.3982222936055	37.1005655378348	60.3545164290492	66.5851417988894
"ENSMUSG00000037029.8"	316.313977385037	354.179819983599	718.203611867096	708.019780040094	452.225661883252	394.615106175152	603.545164290492	608.916296740568
"ENSMUSG00000034158.9"	47372.0247571228	44586.7764802946	88978.1872189969	82674.4494247691	43383.3597593258	40345.1786330527	56958.0139872489	70813.7808041464
"ENSMUSG00000022809.4"	0	0	1.66443478995851	2.061192954993	3.10808015040036	0	1.04059511084568	0
"ENSMUSG00000109430.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000002847.6"	242.085630692015	280.115407225635	14.9799131096266	11.3365612524615	296.821654363234	187.189217031803	3.12178533253703	13.5100287707892
"ENSMUSG00000002844.8"	2034.53150254056	2032.02363207748	1346.52774507643	1207.8590716259	1687.6875216674	1716.74435079617	1228.94282590874	1328.80782981262
"ENSMUSG00000075122.4"	12.6525590954015	27.5367688459098	14.1476957146473	2.061192954993	25.641661240803	40.4733442230925	5.20297555422838	9.65002055056368
"ENSMUSG00000002846.9"	1508.18504417185	1674.04563708066	1971.52300870585	1841.67590528624	1264.98862121295	1222.63227340592	1428.73708719111	2082.47443481164
"ENSMUSG00000049436.4"	20.2440945526423	34.1835751190605	0.832217394979254	0	16.3174207896019	40.4733442230925	0	1.93000411011274
"ENSMUSG00000022798.7"	0	0	0	0	0	0	0	0
"ENSMUSG00000022790.14"	0	3.79817501322894	5.82552176485477	4.12238590998599	14.7633807144017	0	3.12178533253703	6.75501438539458
"ENSMUSG00000061080.11"	0.843503939693431	0	0	0	0.77702003760009	3.37277868525771	0	0
"ENSMUSG00000071552.4"	10.9655512160146	6.64680627315065	22.4698696644398	14.428350684951	20.9795410152024	8.43194671314427	24.9742826602962	22.1950472662965
"ENSMUSG00000022705.4"	0	0	0	0	0	0	0	0
"ENSMUSG00000022701.17"	13.4960630350949	11.3945250396868	130.658131011743	217.455856751761	32.6348415792038	42.1597335657213	194.591285728141	127.380271267441
"ENSMUSG00000012535.14"	5018.84844117591	4827.48044181399	10515.8990029578	9383.58092760562	5236.33803338701	5094.58220408177	9965.77937656903	9170.41452920067
"ENSMUSG00000036304.13"	4.21751969846715	3.79817501322894	1.66443478995851	1.0305964774965	5.43914026320063	1.68638934262885	0	0
"ENSMUSG00000102457.1"	59.8887797182336	37.9817501322894	39.9464349590042	132.946945597048	57.4994827824067	79.2602991035561	309.056747921166	95.5352034505804
"ENSMUSG00000075593.10"	6.74803151754745	0	0.832217394979254	0	5.43914026320063	6.74555737051542	0	0.965002055056368
"ENSMUSG00000036292.13"	39.6446851655912	33.2340313657533	45.7719567238589	26.795508414909	59.8305428952069	30.3550081673194	18.7307119952222	24.1250513764092
"ENSMUSG00000068284.14"	353.428150731548	485.216857939997	3616.81679857984	3057.77974873211	560.231447109665	524.467085557574	3433.96386579073	4287.50413061544
"ENSMUSG00000097516.7"	0.843503939693431	0	0	0	0	0	0	0
"ENSMUSG00000096573.2"	0.843503939693431	2.84863125992171	0	0	6.99318033840081	1.68638934262885	0	0
"ENSMUSG00000040373.12"	3.37401575877372	5.69726251984341	13.3154783196681	0	10.8782805264013	1.68638934262885	0	5.79001233033821
"ENSMUSG00000071550.13"	1.68700787938686	0	3.32886957991701	4.12238590998599	6.21616030080072	3.37277868525771	3.12178533253703	3.86000822022547
"ENSMUSG00000022687.11"	1233.2027598318	1375.88889854218	3103.33866587764	5165.34954521245	1563.36431565138	1342.36591673257	3398.58363202198	3683.41284415016
"ENSMUSG00000015461.15"	1159.81791707847	1339.80623591651	1381.48087566556	1631.43422387696	1478.66913155297	1408.13510109509	1828.32560975585	1489.96317300703
"ENSMUSG00000091947.1"	0	0.949543753307236	0	2.061192954993	0	0	0	0
"ENSMUSG00000036208.13"	421.751969846715	444.386476547786	671.599437748258	558.583290803102	383.847898574445	457.011511852419	531.74410164214	520.136107675382
"ENSMUSG00000030689.15"	453.805119555066	490.914120459841	469.370610768299	464.799011350921	399.388299326446	487.366520019739	542.150052750597	446.795951491098
"ENSMUSG00000024163.17"	285.947835556073	314.298982344695	746.49900329639	1434.59029667513	378.408758311244	300.177302987936	2370.47566250645	950.527024230523
"ENSMUSG00000022668.10"	1127.76476737012	1023.6081660652	1182.58091826552	946.087566341786	885.802842864103	961.241925298447	895.952390438127	996.847122873228
"ENSMUSG00000022860.14"	8.43503939693431	31.3349438591388	8.32217394979254	4.12238590998599	3.10808015040036	0	1.04059511084568	0.965002055056368
"ENSMUSG00000090564.8"	22.7746063717226	21.8395063260664	13.3154783196681	21.6425260274265	23.3106011280027	16.8638934262885	4.1623804433827	17.3700369910146
"ENSMUSG00000078439.9"	10.9655512160146	16.142243806223	3.32886957991701	4.12238590998599	70.7088234216082	13.4911147410308	16.6495217735308	22.1950472662965
"ENSMUSG00000101867.1"	0.843503939693431	2.84863125992171	0	0	0	0	1.04059511084568	0.965002055056368
"ENSMUSG00000062082.16"	36.2706694068175	37.9817501322894	72.4029133631951	21.6425260274265	40.4050419552047	33.7277868525771	5.20297555422838	21.2300452112401
"ENSMUSG00000022665.14"	13117.3297661725	15922.899199209	93795.8937185317	154919.262497274	15005.0339460953	16271.9707670258	146860.228588761	122464.550798983
"ENSMUSG00000051297.8"	0	0	0	0	0	0	0	0
